Sno,Company,calendar_year,OperatingExpenseExItems,NetIncome,PaymentsOfDividends,DPR,DPR0,DDPR,NI0,Ex0,p
4907,Noble Energy Inc,2016,92000000,-985000000,172000000,-0.174619289,0.202453988,-0.377073277,978000000,86000000,0.242951921
4908,Nordstrom Inc,2016,197000000,354000000,256000000,0.723163842,0.31880109,0.404362752,734000000,0,0.242951921
4909,Norfolk Southern Corp,2016,,1668000000,695000000,0.416666667,0.333507853,0.083158813,1910000000,0,0.242951921
4910,Northern Trust Corp,2016,,1032500000,356400000,0.345181598,0.301654588,0.04352701,731300000,0,0.242951921
4911,Northrop Grumman Corp /DE/,2016,,2200000000,640000000,0.290909091,0.27920082,0.011708271,1952000000,0,0.242951921
4912,Norwegian Cruise Line Holdings Ltd.,2016,,633085000,,0,0,0,102886000,0,0.242951921
4913,"Nrg Energy, Inc.",2016,702000000,-891000000,76000000,-0.085297419,-0.4375,0.352202581,-352000000,587000000,0.242951921
150,3M Co,2015,-47000000,4841000000,2561000000,0.529022929,0.362447351,0.166575578,4511000000,0,0.44475867
151,Abbott Laboratories,2015,,4423000000,1443000000,0.326249152,0.533791716,-0.207542563,5963000000,0,0.44475867
152,AbbVie Inc.,2015,,5144000000,3294000000,0.640357698,0,0.640357698,5275000000,0,0.44475867
153,Abiomed Inc,2015,,38147000,,0,0,0,15014000,0,0.44475867
154,Accenture plc,2015,,3273789000,1353471000,0.413426461,0.336594532,0.076831929,2824933000,0,0.44475867
155,"Activision Blizzard, Inc.",2015,,892000000,170000000,0.19058296,0.177545692,0.013037268,1149000000,0,0.44475867
156,Adobe Inc.,2015,,629551000,,0,0,0,832775000,-2917000,0.44475867
157,Advance Auto Parts Inc,2015,,473398000,17649000,0.037281526,0.04538912,-0.008107593,387670000,0,0.44475867
158,Advanced Micro Devices Inc,2015,129000000,-660000000,,0,0,0,-1183000000,100000000,0.44475867
159,Aes Corp,2015,602000000,762000000,276000000,0.362204724,-0.084033613,0.446238338,-357000000,1890000000,0.44475867
160,"Affiliated Managers Group, Inc.",2015,115400000,827200000,0,0,0,0,411400000,0,0.44475867
161,Aflac Inc,2015,,2533000000,656000000,0.258981445,0.210397767,0.048583678,2866000000,0,0.44475867
162,Agilent Technologies Inc,2015,,401000000,133000000,0.331670823,0.09019948,0.241471343,1153000000,0,0.44475867
163,Air Products & Chemicals Inc /DE/,2015,180100000,1317600000,677500000,0.514192471,0.4314925,0.082699971,1193300000,327400000,0.44475867
164,Akamai Technologies Inc,2015,767000,321406000,,0,0,0,203989000,406000,0.44475867
165,"Alaska Air Group, Inc.",2015,32000000,848000000,102000000,0.120283019,0,0.120283019,316000000,0,0.44475867
166,Albemarle Corp,2015,125495000,360064000,119302000,0.33133554,0.209352764,0.121982776,330127000,111685000,0.44475867
167,Alexandria Real Estate Equities Inc,2015,23250000,146114000,243090000,1.663700946,1.462332272,0.201368674,105528000,2050000,0.44475867
168,"Alexion Pharmaceuticals, Inc.",2015,42100000,144400000,,0,0,0,254822000,49112000,0.44475867
169,Align Technology Inc,2015,,144020000,,0,0,0,58691000,36591000,0.44475867
170,Allegion plc,2015,0,154300000,38300000,0.248217758,0,0.248217758,225800000,0,0.44475867
171,Allergan plc,2015,783600000,3919400000,208100000,0.053094861,0,0.053094861,98300000,149500000,0.44475867
172,Alliance Data Systems Corp,2015,,605400000,,0,0,0,422256000,0,0.44475867
173,Alliant Energy Corp,2015,0,388400000,247300000,0.636714727,0.641048555,-0.004333828,335700000,0,0.44475867
174,Allstate Corp,2015,39000000,2171000000,599000000,0.275909719,0.231569818,0.044339901,2306000000,34000000,0.44475867
175,Alphabet Inc.,2015,,16348000000,47000000,0.002874969,0,0.002874969,10737000000,0,0.44475867
176,"Altria Group, Inc.",2015,4000000,5243000000,4179000000,0.79706275,0.81281377,-0.01575102,4183000000,61000000,0.44475867
177,Amazon Com Inc,2015,,596000000,,0,0,0,-39000000,0,0.44475867
178,Ameren Corp,2015,69000000,636000000,402000000,0.632075472,-0.392197125,1.024272597,-974000000,0,0.44475867
179,American Airlines Group Inc.,2015,1051000000,7610000000,278000000,0.03653088,0,0.03653088,-1876000000,0,0.44475867
180,American Electric Power Co Inc,2015,0,2052300000,1059000000,0.516006432,0.725832013,-0.209825581,1262000000,300000000,0.44475867
181,American Express Co,2015,,5163000000,1172000000,0.226999806,0.201249442,0.025750364,4482000000,0,0.44475867
182,American International Group Inc,2015,11000000,2222000000,1028000000,0.462646265,0,0.462646265,3700000000,-6736000000,0.44475867
183,American Tower Corp /MA/,2015,,672000000,795500000,1.183779762,0.598584235,0.585195527,594025000,0,0.44475867
184,"American Water Works Company, Inc.",2015,-3000000,476000000,239000000,0.50210084,0.596137627,-0.094036786,358070000,-838000,0.44475867
185,Ameriprise Financial Inc,2015,,1687000000,465000000,0.275637226,0.338512764,-0.062875538,901000000,0,0.44475867
186,Amerisourcebergen Corp,2015,37894000,-138165000,253919000,-1.83779539,0.184648936,-2.022444326,718986000,44140000,0.44475867
187,Ametek Inc/,2015,,590859000,85988000,0.14553049,0.115615988,0.029914502,459132000,0,0.44475867
188,Amgen Inc,2015,,6939000000,2396000000,0.345294711,0.25730725,0.087987461,4345000000,0,0.44475867
189,Amphenol Corp /DE/,2015,5700000,772300000,159300000,0.206266995,0.125290438,0.080976557,559500000,2000000,0.44475867
190,Anadarko Petroleum Corp,2015,5075000000,-6812000000,553000000,-0.08118027,0.07402863,-0.1552089,2445000000,-1390000000,0.44475867
191,Analog Devices Inc,2015,0,696878000,491059000,0.704655621,0.529302741,0.17535288,651236000,8431000,0.44475867
192,Ansys Inc,2015,,252521000,,0,0,0,203483000,0,0.44475867
193,"Anthem, Inc.",2015,,2560000000,656600000,0.256484375,0.138241386,0.118242989,2655500000,0,0.44475867
194,Aon plc,2015,,1422000000,323000000,0.227144866,0.2,0.027144866,1020000000,0,0.44475867
195,Apache Corp,2015,9604000000,-10667000000,377000000,-0.035342646,0.165917041,-0.201259687,2001000000,31000000,0.44475867
196,Apartment Investment & Management Co,2015,0,271983000,195181000,0.717622057,0.721868746,-0.004246688,195361000,6235000,0.44475867
197,Apple Inc,2015,,53394000000,11561000000,0.216522456,0.05961709,0.156905366,41733000000,0,0.44475867
198,Applied Materials Inc /DE,2015,,1377000000,487000000,0.353667393,3.981651376,-3.627983983,109000000,589000000,0.44475867
199,Aptiv PLC,2015,65000000,1535000000,286000000,0.186319218,0,0.186319218,1160000000,163000000,0.44475867
684,Archer Daniels Midland Co,2015,200000000,1846000000,687000000,0.372156013,0.331178161,0.040977852,1392000000,243000000,0.44475867
685,Arconic Inc.,2015,239000000,-197000000,223000000,-1.131979695,0.808641975,-1.940621671,162000000,172000000,0.44475867
686,"Arista Networks, Inc.",2015,,121102000,,0,0,0,21349000,0,0.44475867
687,Assurant Inc,2015,,141600000,94200000,0.665254237,0.143461407,0.52179283,483705000,0,0.44475867
688,At&T Inc.,2015,-35000000,13687000000,10200000000,0.745232703,1.358402971,-0.613170269,7539000000,0,0.44475867
689,Atmos Energy Corp,2015,,315075000,160018000,0.507872729,0.580462077,-0.072589349,216717000,5288000,0.44475867
690,Autodesk Inc,2015,0,-330500000,,0,0,0,247400000,43900000,0.44475867
691,Automatic Data Processing Inc,2015,,1492500000,943600000,0.632227806,0.572983355,0.059244451,1405800000,42700000,0.44475867
692,Autozone Inc,2015,,1160241000,,0,0,0,930373000,0,0.44475867
693,Avalonbay Communities Inc,2015,-3720000,741733000,655286000,0.883452671,0.863158168,0.020294503,423562000,1449000,0.44475867
694,Avery Dennison Corp,2015,,274300000,133100000,0.485235144,0.512534819,-0.027299675,215400000,0,0.44475867
695,BAKER HUGHES a GE Co LLC,2015,2518000000,-631000000,,0,0.199696279,-0.199696279,1317000000,0,0.44475867
696,BALL Corp,2015,195000000,303000000,72000000,0.237623762,0.147388505,0.090235258,419300000,102800000,0.44475867
697,Bank Of America Corp /DE/,2015,,15910000000,3574000000,0.224638592,0.45582617,-0.231187578,4188000000,0,0.44475867
698,Bank of New York Mellon Corp,2015,,3222000000,865000000,0.268466791,0.254870775,0.013596015,2515000000,0,0.44475867
699,Baxter International Inc,2015,,968000000,910000000,0.940082645,0.345657782,0.594424863,2326000000,0,0.44475867
700,Bb&T Corp,2015,165000000,2123000000,937000000,0.441356571,0.278106509,0.163250062,2028000000,68000000,0.44475867
701,Becton Dickinson & Co,2015,426000000,695000000,485000000,0.697841727,0.314529915,0.383311812,1170000000,0,0.44475867
702,Berkshire Hathaway Inc,2015,,24414000000,,0,0,0,15312000000,0,0.44475867
703,Best Buy Co Inc,2015,198000000,897000000,499000000,0.556298774,-0.533333333,1.089632107,-420000000,1028000000,0.44475867
704,Biogen Inc.,2015,93400000,3593200000,0,0,0,0,1380033000,2225000,0.44475867
705,BlackRock Inc.,2015,0,3352000000,1476000000,0.440334129,0.43442623,0.005907899,2440000000,0,0.44475867
706,Boeing Co,2015,1000000,5176000000,2490000000,0.481066461,0.338974359,0.142092102,3900000000,-4000000,0.44475867
707,Booking Holdings Inc.,2015,0,2551360000,,0,0,0,1424037000,0,0.44475867
708,Borgwarner Inc,2015,,613900000,116700000,0.190096107,0,0.190096107,522400000,0,0.44475867
709,Boston Properties Inc,2015,0,799918000,1226199000,1.532905873,1.122719705,0.410186168,332139000,0,0.44475867
710,Boston Scientific Corp,2015,1150000000,-239000000,,0,0,0,-4068000000,4820000000,0.44475867
711,"Brighthouse Financial, Inc.",2015,,1119000000,771000000,0.689008043,#N/A,#N/A,#N/A,#N/A,0.44475867
712,Bristol Myers Squibb Co,2015,,1631000000,2477000000,1.518700184,0.914034386,0.604665798,2501000000,1830000000,0.44475867
713,Broadcom Inc.,2015,,1364000000,408000000,0.299120235,0.243339254,0.055780981,563000000,5000000,0.44475867
714,"Broadridge Financial Solutions, Inc.",2015,,307500000,138200000,0.449430894,0.404526167,0.044904727,212100000,0,0.44475867
715,Brown Forman Corp,2015,,1067000000,266000000,0.249297095,1.798646362,-1.549349267,591000000,0,0.44475867
716,C H Robinson Worldwide Inc,2015,,509699000,235615000,0.462263022,0.463710248,-0.001447226,593804000,0,0.44475867
717,Cabot Oil & Gas Corp,2015,114875000,-113891000,33090000,-0.290540956,0.127207166,-0.417748122,131730000,0,0.44475867
718,Cadence Design Systems Inc,2015,4511000,252417000,,0,0,0,439948000,113000,0.44475867
719,Campbell Soup Co,2015,102000000,666000000,394000000,0.591591592,0.488219895,0.103371696,764000000,7000000,0.44475867
720,Capital One Financial Corp,2015,,4050000000,974000000,0.240493827,0.036082474,0.204411353,3492000000,0,0.44475867
721,Capri Holdings Ltd,2015,10900000,837700000,,0,0,0,397602000,725000,0.44475867
722,Cardinal Health Inc,2015,-23000000,1431000000,512000000,0.357791754,1.056886228,-0.699094474,334000000,892000000,0.44475867
723,Carmax Inc,2015,,623428000,,0,0,0,434284000,0,0.44475867
724,Carnival Corp,2015,0,1757000000,816000000,0.464428002,0.600154083,-0.135726081,1298000000,173000000,0.44475867
725,Caterpillar Inc,2015,0,2523000000,1757000000,0.696393183,0.282593499,0.413799684,5722000000,580000000,0.44475867
726,"Cboe Global Markets, Inc.",2015,,205000000,73400000,0.35804878,0.724451221,-0.366402441,157395000,0,0.44475867
727,"Cbre Group, Inc.",2015,,558877000,,0,0,0,304787000,19826000,0.44475867
728,Cbs Corp,2015,45000000,1413000000,300000000,0.212314225,0.175349428,0.036964797,1574000000,30000000,0.44475867
729,Celanese Corp,2015,360000000,285000000,174000000,0.610526316,0.115591398,0.494934918,372000000,3000000,0.44475867
730,Celgene Corp /DE/,2015,300000000,1602000000,,0,0,0,1456200000,169000000,0.44475867
731,Centene Corp,2015,,357000000,,0,0,0,-11000000,28000000,0.44475867
732,Centerpoint Energy Inc,2015,,-692000000,,0,0,0,417000000,252000000,0.44475867
733,"Centurylink, Inc",2015,,878000000,1198000000,1.364464692,2.330759331,-0.966294638,777000000,0,0.44475867
1213,Cerner Corp /MO/,2015,,539362000,,0,0,0,397232000,0,0.44475867
1214,"CF Industries Holdings, Inc.",2015,,734000000,282000000,0.384196185,0.05339503,0.330801156,1923400000,0,0.44475867
1215,"Charter Communications, Inc. /MO/",2015,,-271000000,,0,0,0,-304000000,0,0.44475867
1216,Chevron Corp,2015,,4710000000,7992000000,1.696815287,0.259872418,1.436942869,26336000000,0,0.44475867
1217,Chipotle Mexican Grill Inc,2015,13194000,475602000,,0,0,0,278000000,5027000,0.44475867
1218,Chubb Ltd,2015,,2834000000,862000000,0.304163726,0.301182557,0.002981169,2706000000,0,0.44475867
1219,Church & Dwight Co Inc /DE/,2015,,410400000,175300000,0.42714425,0.384505432,0.042638818,349800000,0,0.44475867
1220,Cigna Corp,2015,,2077000000,,0,0.006773399,-0.006773399,1624000000,0,0.44475867
1221,Cimarex Energy Co,2015,4033295000,-2579604000,58281000,-0.022593003,0.111855363,-0.134448365,353823000,0,0.44475867
1222,Cincinnati Financial Corp,2015,,634000000,366000000,0.577287066,0.60807601,-0.030788943,421000000,0,0.44475867
1223,Cintas Corp,2015,,693520000,115273000,0.166214385,0.252800832,-0.086586447,315442000,0,0.44475867
1224,"Cisco Systems, Inc.",2015,484000000,8981000000,4086000000,0.454960472,0.186668325,0.268292147,8041000000,304000000,0.44475867
1225,Citigroup Inc,2015,,17332000000,1253000000,0.072294023,0.018547341,0.053746682,7710000000,0,0.44475867
1226,Citizens Financial Group Inc/RI,2015,,840000000,221000000,0.263095238,0.233281493,0.029813745,643000000,0,0.44475867
1227,Citrix Systems Inc,2015,196139000,319361000,,0,0,0,352547000,0,0.44475867
1228,Clorox Co /DE/,2015,,648000000,398000000,0.614197531,0.585664336,0.028533195,572000000,0,0.44475867
1229,Cme Group Inc.,2015,,1247000000,1343400000,1.077305533,1.35028124,-0.272975706,906700000,0,0.44475867
1230,Cms Energy Corp,2015,,525000000,322000000,0.613333333,1.3125,-0.699166667,384000000,0,0.44475867
1231,Coca Cola Co,2015,,7366000000,5741000000,0.7793918,0.50572309,0.27366871,9086000000,0,0.44475867
1232,Cognizant Technology Solutions Corp,2015,,1624000000,0,0,0,0,1051263000,0,0.44475867
1233,Colgate Palmolive Co,2015,,1548000000,1493000000,0.964470284,0.485366781,0.479103504,2631000000,0,0.44475867
1234,Comcast Corp,2015,0,8413000000,2669000000,0.317247118,0.292307692,0.024939425,7865000000,0,0.44475867
1235,Comerica Inc /NEW/,2015,0,521000000,147000000,0.282149712,0.186180422,0.09596929,521000000,35000000,0.44475867
1236,Conagra Brands Inc.,2015,,-665900000,432500000,-0.649496921,0.509731586,-1.159228508,786100000,0,0.44475867
1237,Concho Resources Inc,2015,115000000,66000000,,0,0,0,431689000,39840000,0.44475867
1238,Conocophillips,2015,2245000000,-4371000000,3664000000,-0.838252116,0.385737821,-1.223989937,8498000000,680000000,0.44475867
1239,Consolidated Edison Inc,2015,,1193000000,733000000,0.614417435,0.624014023,-0.009596588,1141000000,0,0.44475867
1240,"Constellation Brands, Inc.",2015,,1060600000,241600000,0.227795587,0,0.227795587,387800000,0,0.44475867
1241,Cooper Companies Inc,2015,,205100000,2900000,0.014139444,0.011490324,0.002649121,248644000,0,0.44475867
1242,Copart Inc,2015,0,219783000,,0,0,0,182119000,8771000,0.44475867
1243,Corning Inc /NY,2015,0,1339000000,679000000,0.507094847,0.288508557,0.218586289,1636000000,133000000,0.44475867
1244,Costco Wholesale Corp /NEW,2015,,2409000000,2865000000,1.189290162,0.252405207,0.936884955,1767000000,0,0.44475867
1245,Coty Inc.,2015,241600000,179200000,89000000,0.496651786,0.284299158,0.212352628,201900000,20500000,0.44475867
1246,Crown Castle International Corp,2015,33468000,1524335000,1160432000,0.76127098,0.012350165,0.748920815,200888000,15548000,0.44475867
1247,Csx Corp,2015,0,1968000000,686000000,0.348577236,0.299516908,0.049060328,1863000000,0,0.44475867
1248,Cummins Inc,2015,301000000,1470000000,622000000,0.423129252,0.195627158,0.227502094,1738000000,-6000000,0.44475867
1249,CVS HEALTH Corp,2015,,5239000000,1576000000,0.300820767,0.214655619,0.086165148,3862000000,0,0.44475867
1250,Danaher Corp /DE/,2015,,3357400000,354100000,0.105468517,0.036117381,0.069351136,2392200000,0,0.44475867
1251,Darden Restaurants Inc,2015,5800000,375000000,268200000,0.7152,0.626851177,0.088348823,411900000,900000,0.44475867
1252,Davita Inc.,2015,499066000,427410000,,0,0.177007877,-0.177007877,641237000,0,0.44475867
1253,Deere & Co,2015,,1940900000,816300000,0.420578082,0.227210574,0.193367508,3071600000,0,0.44475867
1254,Delta Air Lines Inc /DE/,2015,,4526000000,359000000,0.079319487,0,0.079319487,1009000000,452000000,0.44475867
1255,DENTSPLY SIRONA Inc.,2015,64700000,251100000,40000000,0.159299084,0.098669028,0.060630056,318489000,25717000,0.44475867
1256,Devon Energy Corp/DE,2015,17654000000,-13645000000,396000000,-0.02902162,-1.572815534,1.543793914,-206000000,2085000000,0.44475867
1257,"Diamondback Energy, Inc.",2015,814798000,-547790000,,0,0,0,-36521000,0,0.44475867
1258,"Digital Realty Trust, Inc.",2015,17400000,301591000,548058000,1.817222662,1.726943674,0.090278988,216047000,11120000,0.44475867
1259,Discover Financial Services,2015,,2297000000,515000000,0.224205485,0.0891258,0.135079686,2345000000,0,0.44475867
1260,"Discovery, Inc.",2015,67000000,1048000000,,0,0,0,945000000,6000000,0.44475867
1261,DISH Network CORP,2015,146652000,842026000,,0,0.72376706,-0.72376706,625740000,730457000,0.44475867
1262,Dollar General Corp,2015,,1165080000,258328000,0.221725547,0,0.221725547,952662000,0,0.44475867
1742,Dollar Tree Inc,2015,3607000000,282400000,,0,0,0,619300000,0,0.44475867
1743,Dominion Energy Inc /VA/,2015,,1923000000,1536000000,0.79875195,3.723404255,-2.924652305,329000000,0,0.44475867
1744,DOVER Corp,2015,,869829000,257969000,0.296574384,0.297087798,-0.000513413,811070000,0,0.44475867
1745,DowDuPont Inc.,2015,559000000,7783000000,2253000000,0.289477065,1.863636364,-1.574159298,1100000000,1563000000,0.44475867
1746,Dte Energy Co,2015,106000000,720000000,501000000,0.695833333,0.658576052,0.037257282,618000000,0,0.44475867
1747,Duke Energy CORP,2015,106000000,2831000000,2254000000,0.796185094,0.983164983,-0.18697989,1782000000,666000000,0.44475867
1748,Duke Realty Corp,2015,,621861000,307169000,0.493951221,-3.009569252,3.503520472,-75868000,0,0.44475867
1749,DXC Technology Co,2015,23000000,263000000,430000000,1.634980989,0.159178434,1.475802555,779000000,264000000,0.44475867
1750,E Trade Financial Corp,2015,17000000,268000000,0,0,0,0,-113000000,8000000,0.44475867
1751,Eastman Chemical Co,2015,183000000,854000000,238000000,0.278688525,0.432432432,-0.153743908,444000000,120000000,0.44475867
1752,Eaton Corp plc,2015,0,1974000000,1026000000,0.519756839,0.419672131,0.100084708,1220000000,0,0.44475867
1753,Ebay Inc,2015,,1725000000,,0,0,0,2609000000,0,0.44475867
1754,Ecolab Inc.,2015,414800000,1017200000,400700000,0.393924499,0.437473264,-0.043548765,701300000,145700000,0.44475867
1755,Edison International,2015,5000000,1117000000,544000000,0.4870188,-4.608695652,5.095714453,-92000000,0,0.44475867
1756,Edwards Lifesciences Corp,2015,7000000,494900000,,0,0,0,291500000,16000000,0.44475867
1757,Electronic Arts Inc.,2015,,1156000000,,0,0,0,98000000,27000000,0.44475867
1758,Emerson Electric Co,2015,-1039000000,2733000000,1269000000,0.464324918,0.578557312,-0.114232395,2024000000,592000000,0.44475867
1759,Entergy Corp /DE/,2015,2104906000,-156734000,618655000,-3.947165261,0.70424235,-4.651407611,868363000,355524000,0.44475867
1760,Eog Resources Inc,2015,6613546000,-4524515000,367005000,-0.081114771,0.317528789,-0.39864356,570279000,1270735000,0.44475867
1761,Equifax Inc,2015,,434800000,137800000,0.316927323,0.306267806,0.010659517,280800000,0,0.44475867
1762,Equinix Inc,2015,41723000,187774000,521461000,2.777067113,0,2.777067113,143144000,18683000,0.44475867
1763,Equity Residential,2015,0,908018000,788105000,0.867939843,0.552502031,0.315437811,881204000,0,0.44475867
1764,"Essex Property Trust, Inc.",2015,2414000,248239000,367257000,1.47944924,1.119349524,0.360099717,139590000,0,0.44475867
1765,Estee Lauder Companies Inc,2015,133000000,1121000000,423000000,0.377341659,0.409454972,-0.032113312,1023800000,32800000,0.44475867
1766,Everest Re Group Ltd,2015,,977869000,175107000,0.179069998,0.121118904,0.057951094,828954000,0,0.44475867
1767,"Evergy, Inc.",2015,,301796000,186120000,0.616707975,0.560011612,0.056696363,282462000,0,0.44475867
1768,Eversource Energy,2015,,886004000,537310000,0.606441957,0.716736982,-0.110295024,533077000,0,0.44475867
1769,EXELON Corp,2015,,2250000000,1105000000,0.491111111,1.465414176,-0.974303065,1171000000,0,0.44475867
1770,"Expedia Group, Inc.",2015,112078000,722748000,108527000,0.150158838,0.465065611,-0.314906773,280440000,0,0.44475867
1771,Expeditors International Of Washington Inc,2015,,459497000,135673000,0.295264169,0.352173926,-0.056909757,332969000,0,0.44475867
1772,Extra Space Storage Inc.,2015,,209536000,269302000,1.285230223,0.691422127,0.593808096,127689000,0,0.44475867
1773,Exxon Mobil Corp,2015,,16551000000,12090000000,0.730469458,0.211656635,0.518812823,47681000000,0,0.44475867
1774,F5 Networks Inc,2015,0,365014000,,0,0,0,275186000,0,0.44475867
1775,Facebook Inc,2015,,3688000000,,0,0,0,53000000,0,0.44475867
1776,Fastenal Co,2015,-1400000,516400000,327100000,0.633423703,0.873423441,-0.239999738,420536000,-403000,0.44475867
1777,Federal Realty Investment Trust,2015,,218424000,243314000,1.113952679,1.139459266,-0.025506587,156232000,0,0.44475867
1778,Fedex Corp,2015,,1820000000,277000000,0.152197802,0.065169367,0.087028435,2716000000,660000000,0.44475867
1779,"Fidelity National Information Services, Inc.",2015,,643000000,305000000,0.474339036,0.488048223,-0.013709187,481100000,0,0.44475867
1780,Fifth Third Bancorp,2015,,1706000000,497000000,0.291324736,0.218551461,0.072773275,1574000000,0,0.44475867
1781,Firstenergy Corp,2015,42000000,578000000,607000000,1.05017301,1.193255512,-0.143082502,771000000,0,0.44475867
1782,Fiserv Inc,2015,0,712000000,,0,0,0,611000000,0,0.44475867
1783,Fleetcor Technologies Inc,2015,,362431000,,0,0,0,216199000,0,0.44475867
1784,Flir Systems Inc,2015,1361000,241686000,61399000,0.254044504,0.190874019,0.063170485,222398000,2000000,0.44475867
1785,Flowserve Corp,2015,0,264016000,93650000,0.354713351,0.163631685,0.191081666,450799000,0,0.44475867
1786,Fluor Corp,2015,-68162000,475006000,125204000,0.263584039,0.225280046,0.038303993,571067000,0,0.44475867
1787,Fmc Corp,2015,150300000,498500000,86400000,0.17331996,0.109708515,0.063611445,435700000,27500000,0.44475867
1788,"Foot Locker, Inc.",2015,,541000000,139000000,0.256931608,0.274559194,-0.017627586,397000000,12000000,0.44475867
1789,Ford Motor Co,2015,,7371000000,2380000000,0.32288699,0.13595866,0.18692833,5612000000,0,0.44475867
1790,Fortinet Inc,2015,7600000,7987000,,0,0,0,66836000,0,0.44475867
2269,Fortive Corp,2015,,863800000,0,0,#N/A,#N/A,#N/A,#N/A,0.44475867
2270,"Fortune Brands Home & Security, Inc.",2015,33300000,315500000,89500000,0.283676704,0,0.283676704,119700000,17900000,0.44475867
2271,Franklin Resources Inc,2015,,2104700000,666400000,0.316624697,0.346123727,-0.02949903,1915500000,0,0.44475867
2272,Freeport-Mcmoran Inc,2015,39000000,-12089000000,605000000,-0.050045496,0.283668342,-0.333713838,3980000000,0,0.44475867
2273,Gallagher Arthur J & Co,2015,,389100000,257500000,0.661783603,1.048205128,-0.386421525,195000000,0,0.44475867
2274,Gap Inc,2015,,920000000,377000000,0.409782609,0.211453744,0.198328864,1135000000,0,0.44475867
2275,Garmin Ltd,2015,,456227000,378117000,0.828791369,0.467154496,0.361636873,542403000,0,0.44475867
2276,Gartner Inc,2015,,175635000,,0,0,0,165903000,0,0.44475867
2277,General Dynamics Corp,2015,,3036000000,873000000,0.287549407,-2.689759036,2.977308443,-332000000,1994000000,0.44475867
2278,General Electric Co,2015,,-5795000000,9295000000,-1.603968939,0.518537219,-2.122506157,13864000000,0,0.44475867
2279,General Mills Inc,2015,3200000,1736800000,1071700000,0.617054353,0.467658473,0.149395879,1855200000,19800000,0.44475867
2280,General Motors Co,2015,,9615000000,2242000000,0.233177327,0.153031291,0.080146036,6136000000,27145000000,0.44475867
2281,Genuine Parts Co,2015,,705672000,368284000,0.52189119,0.464450552,0.057440639,648041000,0,0.44475867
2282,Gilead Sciences Inc,2015,,18106000000,1874000000,0.103501602,0,0.103501602,2574000000,0,0.44475867
2283,Global Payments Inc,2015,,290217000,5439000,0.018741149,0.025964233,-0.007223084,238713000,0,0.44475867
2284,Goldman Sachs Group Inc,2015,,6083000000,1681000000,0.276343909,0.145284281,0.131059628,7475000000,0,0.44475867
2285,Goodyear Tire & Rubber Co /OH/,2015,114000000,376000000,68000000,0.180851064,0.122362869,0.058488195,237000000,175000000,0.44475867
2286,Grainger W W Inc,2015,,785174000,306474000,0.390326221,0.314913522,0.075412699,698849000,0,0.44475867
2287,H&R Block Inc,2015,,374267000,201688000,0.538888013,0.500523104,0.038364909,433948000,0,0.44475867
2288,Half Robert International Inc /DE/,2015,,357796000,107561000,0.300621024,0.400724962,-0.100103938,209942000,0,0.44475867
2289,Halliburton Co,2015,2485000000,-667000000,614000000,-0.92053973,0.125897921,-1.046437651,2645000000,0,0.44475867
2290,Hanesbrands Inc.,2015,,428855000,161316000,0.376155111,0,0.376155111,164681000,0,0.44475867
2291,Harley Davidson Inc,2015,,752207000,249262000,0.331374209,0.227080178,0.104294032,623925000,28475000,0.44475867
2292,Harris Corp /DE/,2015,,324000000,252000000,0.777777778,1.513761468,-0.73598369,109000000,0,0.44475867
2293,Hartford Financial Services Group Inc/DE,2015,,1682000000,316000000,0.187871581,-5.710526316,5.898397897,-38000000,0,0.44475867
2294,Hasbro Inc,2015,,446872000,225797000,0.505283392,0.671025807,-0.165742415,335999000,0,0.44475867
2295,"HCA Healthcare, Inc.",2015,5000000,2696000000,,0,1.569292124,-1.569292124,2006000000,-15000000,0.44475867
2296,"Hcp, Inc.",2015,135658000,-546418000,1046638000,-1.915453005,1.021803359,-2.937256364,846842000,18859000,0.44475867
2297,"Helmerich & Payne, Inc.",2015,27408000,420427000,298367000,0.709676115,0.051715444,0.657960671,581045000,0,0.44475867
2298,Henry Jack & Associates Inc,2015,-19491000,248867000,84118000,0.338003833,0.287584273,0.05041956,167610000,0,0.44475867
2299,Henry Schein Inc,2015,34931000,523427000,,0,0,0,423388000,15192000,0.44475867
2300,Hershey Co,2015,365430000,512951000,476132000,0.928221214,0.516250562,0.411970652,660931000,44938000,0.44475867
2301,Hess Corp,2015,1616000000,-3007000000,287000000,-0.095443964,0,-0.095443964,2063000000,582000000,0.44475867
2302,Hewlett Packard Enterprise Co,2015,281000000,2461000000,,0,#N/A,#N/A,#N/A,#N/A,0.44475867
2303,Hilton Worldwide Holdings Inc.,2015,,1416000000,138000000,0.097457627,0,0.097457627,359000000,0,0.44475867
2304,HollyFrontier Corp,2015,0,802508000,246908000,0.307670453,0.373904921,-0.066234468,1760033000,0,0.44475867
2305,Hologic Inc,2015,,131600000,,0,0,0,-73600000,10900000,0.44475867
2306,Home Depot Inc,2015,,7009000000,3031000000,0.432444001,0.384343991,0.048100009,4535000000,0,0.44475867
2307,Honeywell International Inc,2015,,4847000000,1726000000,0.356096555,0.413169567,-0.057073012,2931000000,0,0.44475867
2308,Hormel Foods Corp /DE/,2015,21537000,687264000,250834000,0.36497474,0.301417337,0.063557403,504961000,0,0.44475867
2309,Horton D R Inc /DE/,2015,9800000,750700000,91600000,0.122019449,0.049984315,0.072035134,956300000,0,0.44475867
